"","vereda_code","vereda","bogota","santiago","tecnicafe"
"1436","41524044","san pedro",0.779514481236482,-0.0472473458274588,0.860535395996178
"1437","41530001","belen",0.0553885466465715,-0.0394854478851091,-0.03795169791098
"1438","41530002","betania",0.0941205291119114,-0.067308275806105,-0.0304385187186418
"1439","41530017","la esperanza",0.130622347975943,-0.0935570294650839,-0.0188590548568181
"1440","41530027","primavera",0.0695054111044922,-0.00632381505993382,-0.0414001012934343
"1441","41530031","san isidro",0.0376706078605922,-0.0212658800411461,-0.0253135764266624
"1442","41530032","santa barbara",0.0553885466465715,-0.0394854478851091,-0.03795169791098
"1443","41530033","sinai",0.0516363128689347,-0.0786825382101084,-0.0296611892562523
"1444","41530035","los pinos",0.0657342270471453,-0.0946862687653308,-0.0433457553077584
"1445","41548002","arrayan",0.669800006013728,0.0842736073762147,0.628031584128121
"1446","41548021","la florida",0.727579892943278,0.0694968062633915,0.701850775873313
"1447","41548025","los alpes",0.722493225026507,0.0156810539742219,0.654651123151919
"1448","41548031","san isidro",0.72854697195316,0.0491615341806753,0.664415061931122
"1449","41548035","santa rosa",0.716635228777539,0.0115989715476002,0.645391261305963
"1450","41551012","betania",0.224593675644272,-0.0653618649129785,0.0723743753749216
"1451","41551036","el danubio",0.171507175493941,0.139866874245843,0.077535259864603
"1452","41551040","el higueron",0.221201517720201,0.0431716895592676,0.0878253266438626
"1453","41551046","el pedregal",0.074388826739755,0.145055293197895,0.0547039562734547
"1454","41551051","el rosal",0.178496931106105,0.173503606386721,0.0899750476072836
"1455","41551054","el tigre",0.188252423242485,0.192245754561174,0.0797659299987174
"1456","41551067","la esmeralda",0.0875240037254405,-0.0570101070551384,0.00650776419349082
"1457","41551068","la esperanza",0.0647465104045235,-0.0052176167249887,0.00732543345472164
"1458","41551069","la estrella",0.221889779452107,-0.106974576713912,0.062755463880322
"1459","41551070","la florida",0.0744444055602106,0.163408694627168,0.0642287098802738
"1460","41551073","la laguna",0.125528926366588,0.182224742716767,0.0845447184414443
"1461","41551074","la meseta",0.106944591111646,0.159573664773999,0.0528633046450635
"1462","41551076","la paz",0.137974841703879,0.135387433773127,0.0605089043051107
"1463","41551080","la union",0.105578870970469,0.182427813013293,0.0814107613491072
"1464","41551090","los pinos",0.0906318728531652,0.148381746903887,0.0496260563279359
"1465","41551094","miravalle",0.188252423242485,0.192245754561174,0.0797659299987174
"1466","41551108","primavera",0.0593502904927987,-0.0166162497614218,0.00186171946472376
"1467","41551118","santa ines",0.112199141599826,-0.0544360175724077,-0.021344763016336
"1468","41551120","santa rosa",0.220769938083542,0.0100420473482902,0.096202086514195
"1469","41551122","siete de agosto",0.123245662743293,0.207443411675266,0.100217284744072
"1470","41551133","la palma",0.109871367245451,-0.0758989807949421,-0.00643827748810753
"1471","41615010","el guadual",0.780619064156535,-0.039505322347763,0.828693705276463
"1472","41615015","la medina",0.764472980197536,0.00613028018756955,0.802207824020702
"1473","41660015","la esperanza",0.14276265768712,0.0581838415252751,0.0951528169642721
"1474","41660016","la palma",0.19619152838594,0.0803886764435157,0.14293732787014
"1475","41660029","primavera",0.229138409044669,-0.0152605316164309,0.187182782957477
"1476","41660032","san rafael",0.27099536008361,0.107278557459483,0.198816821027676
"1477","41668019","el rosario",0.0960949026295199,0.0698728326618627,0.117438813228062
"1478","41668029","la esperanza",0.00548369119100893,0.178410476435144,0.0516725983774986
"1479","41668030","la estrella",0.0375780686840537,0.0978755920842672,0.110936425212927
"1480","41668040","los pinos",0.0790528506016753,0.0444185160445737,0.101960462969064
"1481","41676014","el placer",0.742362182361578,-0.0256278957654002,0.817044178772548
"1482","41676018","la cabana",0.775866299461396,-0.0213833400314984,0.856129986663743
"1483","41676019","la esperanza",0.781920035522797,-0.0291457318960861,0.861789754474705
"1484","41676020","la maria",0.751433802767039,-0.0267692978898331,0.843398956351903
"1485","41676021","la maria",0.765466876672041,-0.00778896266342828,0.829918115038956
"1486","41676026","la vega",0.74342850959293,-0.02769859154949,0.820790618315714
"1487","41676041","sinai",0.80063518897625,-0.0306174816395254,0.861359342100821
"1488","41770015","el tablon",0.263471487506875,0.119529285300984,0.12461229647926
"1489","41770018","fatima",0.262543299605253,0.137414534896077,0.160182244168812
"1490","41770022","la esmeralda",0.22835758694175,0.0860438740142763,0.0912972310180842
"1491","41770023","la palma",0.293332706015123,0.184685741687806,0.231107576181263
"1492","41770025","la union",0.264507737277761,0.126396584141852,0.137685793207148
"1493","41770034","primavera",0.309071983346552,0.2133868142329,0.217587999887013
"1494","41770040","toribio",0.287353315605027,0.151724867962285,0.147432839033566
"1495","41791001","quebraditas",0.322178438225107,0.0880721695883256,0.326524277024123
"1496","41791003","la palma",0.322178438225107,0.0880721695883256,0.326524277024123
"1497","41791024","la vega",0.635903846639751,0.163162975030288,0.595200649819787
"1498","41791030","betania",0.605546249930891,0.13607233681854,0.55778658716338
"1499","41791031","los alpes",0.605546249930891,0.13607233681854,0.55778658716338
"1500","41791035","la esmeralda",0.579626058571165,0.119817337554518,0.529971402624234
"1501","41797004","centro",0.748190062346622,0.0991417945486321,0.72242356575649
"1502","41797010","el rosario",0.761700497383035,0.0556846889165341,0.73944548314503
"1503","41797013","la esperanza",0.725201846916135,0.00990392733811762,0.782742962458635
"1504","41797014","la florida",0.73891063567624,0.0484348341959326,0.779947935695413
"1505","41797021","sinai",0.710561753327613,0.0809087388557564,0.768415684526954
"1506","41799022","la cabana",0.845529672014336,-0.0748132250418981,0.771189858951065
"1507","41799024","la esperanza",0.861043318641058,-0.0929244420751499,0.787371068614782
"1508","41799025","la estrella",0.845965507030348,-0.111324820938068,0.792434395598721
"1509","41801005","el tablon",0.777937022904244,-0.0346080454522322,0.846737790481906
"1510","41801012","la maria",0.773083993556207,0.0245781520993531,0.835153539213654
"1511","41801020","primavera",0.773083993556207,0.0245781520993531,0.835153539213654
"1512","41801022","sinai",0.775104152069835,-0.0203332655662939,0.842592098828305
"1513","41807013","el pedregal",0.442596038505249,-0.0138073116857242,0.338951037993971
"1514","41807016","la esperanza",0.169952084767432,0.200730494115031,0.0330513252643358
"1515","41807018","la florida",0.181750859530255,0.229617254987532,0.0562299180233526
"1516","41807035","san isidro",0.267251233906886,0.250169050338909,0.160398437425662
"1517","41872009","la victoria",0.73679901675309,-0.203101577691105,0.802136985823125
"1518","41885007","la paz",0.749032925978149,-0.0301335667278572,0.841032352948226
"1519","44001009","la palma",0.566679811865161,-0.122128138422791,0.649868887628873
"1520","44420002","la palma",0.375851800563078,-0.0792780867577232,0.490184570706794
"1521","44650008","el placer",0.527112577126408,-0.146500889060095,0.558988694343129
"1522","44650031","canaveral",0.527025928107779,-0.104379567304729,0.619678413830979
"1523","44650037","la florida",0.481234108609418,-0.0851374865970656,0.546753865142318
"1524","44855003","el pedregal",0.428060289095686,-0.00621343076790139,0.53316170840631
"1525","47030002","bella vista",0.559110727835131,-0.0681646904711831,0.571199362633459
"1526","47058004","el paraiso",0.499245536560337,-0.13673488893422,0.609407029597545
"1527","47170002","la estrella",0.442863202601144,-0.0918421968542281,0.562789415173785
"1528","47205004","concordia",0.57484226618665,-0.218607647760247,0.558042722129241
"1529","47288007","bella vista",0.55712661722392,-0.141208111328256,0.593153704623263
"1530","47318018","san isidro",0.674607295095144,-0.188537349965926,0.631285132896534
"1531","47318019","san pedro",0.647811138644254,-0.204733428938407,0.605844153031114
"1532","47318025","san isidro",0.673041959150235,-0.190664980721203,0.633453153221337
"1533","47460003","betania",0.380386477816461,-0.0998783873060594,0.424024532984982
"1534","47551008","las piedras",0.568057286181906,-0.182611692247765,0.62164894047984
